['61', '1', '8', '9']
['238', '14', '120', '177']
['84', '15', '17', '28']
['95', '5', '36', '74']
['3', '35', '38', '26']
['13', '18', '19', '20']
['50', '30', '67', '146']
['137', '21', '27', '29']
['197', '32', '39', '48']
['42', '43', '44', '216']
['240', '37', '40', '54']
['66', '45', '47', '104']
['174', '59', '63', '64']
['194', '51', '52', '62']
['227', '65', '68', '71']
['56', '57', '58', '10']
['75', '83', '98', '22']
['25', '72', '76', '86']
['108', '81', '87', '90']
['237', '77', '82', '73']
['91', '93', '111', '113']
['97', '94', '96', '103']
['133', '78', '79', '80']
['41', '85', '89', '130']
['46', '100', '101', '127']
['53', '105', '107', '119']
['106', '110', '112', '117']
['122', '114', '115', '116']
['156', '109', '135', '193']
['118', '121', '129', '221']
['236', '124', '125', '153']
['7', '128', '143', '140']
['33', '131', '134', '148']
['34', '139', '145', '152']
['102', '147', '151', '163']
['123', '142', '144', '159']
['132', '155', '167', '178']
['154', '169', '175', '173']
['181', '149', '150', '168']
['198', '157', '158', '172']
['164', '165', '219', '189']
['232', '180', '182', '185']
['49', '160', '162', '218']
['176', '69', '183', '212']
['99', '170', '171', '179']
['184', '187', '191', '136']
['188', '202', '204', '228']
['190', '192', '196', '205']
['88', '195', '199', '206']
['126', '200', '201', '209']
['138', '203', '4', '6']
['207', '208', '211', '166']
['210', '213', '231', '186']
['233', '234', '23', '24']
['242', '217', '222', '241']
['0', '214', '215', '220']
['31', '223', '224', '225']
['229', '230', '70']
['55', '244', '245', '246']
['60', '226', '12', '16']
['243', '247', '248', '92']
['141', '249', '2', '11']
['161', '235', '239']
