['235', '6', '365', '447', '482']
['141', '7', '366', '448', '483']
['19', '24', '116', '117', '119']
['127', '25', '367', '369', '370']
['180', '67', '265', '267', '269']
['203', '14', '17', '18', '20']
['257', '68', '146', '147', '149']
['445', '36', '39', '41', '42']
['15', '54', '55', '56', '59']
['30', '69', '214', '215', '218']
['81', '70', '75', '76', '77']
['89', '72', '181', '182', '183']
['140', '91', '133', '134', '135']
['150', '92', '368', '382', '383']
['155', '139', '280', '282', '284']
['158', '152', '159', '160', '161']
['217', '10', '12', '13', '21']
['232', '163', '164', '165', '168']
['270', '107', '108', '109', '111']
['286', '174', '372', '449', '484']
['326', '103', '104', '105', '106']
['390', '114', '115', '120', '123']
['426', '176', '191', '193', '194']
['430', '94', '95', '96', '98']
['442', '200', '374', '414', '415']
['465', '202', '249', '250', '251']
['469', '8', '9', '22', '23']
['2', '204', '344', '345', '346']
['26', '85', '86', '87', '88']
['32', '205', '279', '285', '287']
['51', '207', '375', '450', '458']
['97', '43', '45', '48', '49']
['110', '208', '376', '410', '412']
['121', '99', '112', '113', '125']
['138', '213', '240', '241', '242']
['148', '216', '263', '264', '271']
['186', '219', '272', '273', '274']
['192', '220', '354', '356', '357']
['198', '221', '377', '454', '459']
['255', '222', '378', '462', '485']
['268', '223', '237', '238', '239']
['281', '224', '379', '395', '397']
['305', '225', '313', '315', '316']
['330', '142', '143', '145', '151']
['337', '93', '100', '101', '102']
['355', '247', '248', '252', '253']
['371', '254', '276', '277', '278']
['401', '256', '293', '294', '295']
['409', '80', '82', '83', '84']
['486', '157', '162', '166', '167']
['11', '60', '62', '63', '64']
['31', '258', '380', '463', '487']
['37', '259', '381', '464', '490']
['40', '73', '74', '78', '79']
['66', '260', '384', '466', '491']
['90', '261', '385', '467', '493']
['118', '188', '189', '190', '196']
['122', '169', '170', '171', '172']
['124', '262', '386', '468', '494']
['144', '275', '387', '413', '416']
['175', '179', '184', '197', '199']
['195', '288', '405', '470', '488']
['201', '290', '406', '456', '457']
['206', '291', '407', '435', '436']
['227', '292', '408', '471', '476']
['266', '296', '324', '327', '328']
['283', '297', '308', '309', '310']
['289', '153', '154', '156', '173']
['306', '298', '361', '362', '363']
['314', '299', '350', '352', '353']
['322', '300', '411', '472', '495']
['323', '230', '231', '233', '234']
['325', '128', '129', '131', '132']
['329', '301', '432', '474', '489']
['332', '302', '394', '398', '399']
['335', '303', '433', '451', '452']
['343', '304', '393', '400', '404']
['364', '126', '130', '136', '137']
['373', '307', '434', '478', '496']
['396', '311', '437', '479', '497']
['418', '0', '1', '3', '5']
['420', '312', '438', '440', '441']
['422', '236', '243', '244', '246']
['431', '321', '331', '333', '334']
['453', '336', '439', '480', '498']
['455', '338', '417', '419', '421']
['473', '347', '443', '475', '477']
['492', '209', '210', '211', '212']
['4', '348', '389', '391', '392']
['16', '33', '34', '35', '52']
['28', '349', '444', '460', '461']
['38', '351', '425', '427', '428']
['44', '27', '29', '46', '47']
['50', '358', '423', '424', '429']
['53', '359', '388', '402', '403']
['57', '226', '228', '229', '245']
['58', '177', '178', '185', '187']
['61', '317', '318', '319', '320']
['65', '339', '340', '341', '342']
['71', '360', '446', '481', '499']
