['328', '492', '46', '233', '79', '220', '314', '442', '327', '156']
['9', '276', '36', '354', '491', '205', '158', '148', '94', '215']
['24', '217', '264', '414', '469', '287', '282', '236', '11', '478']
['244', '234', '242', '380', '313', '309', '63', '248', '74', '262']
['362', '109', '28', '178', '370', '306', '372', '13', '263', '102']
['182', '53', '213', '90', '78', '291', '329', '266', '420', '241']
['210', '278', '476', '312', '410', '431', '392', '378', '254', '416']
['44', '150', '434', '159', '310', '301', '344', '300', '256', '366']
['22', '319', '493', '335', '473', '113', '176', '430', '350', '183']
['223', '199', '371', '239', '377', '436', '43', '57', '368', '497']
['369', '216', '17', '184', '231', '331', '87', '144', '365', '273']
['394', '325', '29', '81', '42', '459', '468', '172', '352', '190']
['321', '219', '95', '308', '457', '343', '162', '307', '395', '446']
['212', '384', '383', '472', '117', '59', '65', '198', '2', '61']
['157', '284', '152', '494', '67', '423', '253', '360', '277', '131']
['84', '10', '320', '403', '99', '465', '204', '324', '14', '285']
['428', '292', '417', '3', '400', '419', '222', '391', '349', '124']
['386', '47', '399', '375', '132', '32', '21', '186', '121', '289']
['425', '464', '484', '460', '470', '107', '255', '153', '52', '141']
['448', '322', '200', '112', '226', '163', '151', '482', '66', '25']
['16', '49', '137', '181', '174', '194', '382', '104', '128', '119']
['393', '439', '432', '187', '315', '475', '7', '387', '413', '228']
['26', '337', '397', '345', '147', '461', '127', '474', '80', '462']
['73', '376', '288', '40', '364', '356', '188', '479', '447', '191']
['110', '71', '221', '272', '433', '498', '467', '6', '175', '31']
['56', '402', '317', '347', '232', '76', '154', '225', '189', '426']
['463', '5', '27', '62', '111', '294', '68', '58', '257', '247']
['283', '39', '30', '54', '168', '208', '86', '136', '348', '359']
['267', '427', '449', '243', '269', '311', '334', '130', '72', '145']
['280', '440', '195', '238', '271', '134', '1', '103', '116', '85']
['486', '100', '265', '237', '407', '129', '123', '0', '361', '48']
['133', '438', '82', '143', '355', '406', '363', '338', '435', '381']
['214', '342', '135', '126', '441', '488', '259', '374', '45', '445']
['96', '424', '455', '297', '106', '250', '114', '118', '120', '203']
['240', '396', '177', '160', '385', '146', '166', '165', '35', '415']
['411', '18', '15', '37', '224', '429', '437', '149', '101', '456']
['69', '19', '108', '138', '495', '483', '227', '115', '296', '23']
['466', '206', '201', '303', '357', '340', '339', '480', '193', '155']
['274', '260', '326', '209', '275', '422', '8', '316', '295', '477']
['452', '281', '408', '304', '93', '180', '164', '170', '418', '202']
['105', '270', '346', '496', '139', '83', '389', '409', '197', '245']
['268', '390', '89', '299', '286', '122', '398', '140', '235', '4']
['34', '298', '77', '333', '481', '330', '318', '471', '173', '211']
['487', '458', '70', '353', '41', '444', '293', '499', '351', '388']
['229', '252', '379', '97', '142', '261', '443', '489', '161', '64']
['167', '33', '490', '485', '75', '38', '88', '50', '55', '60']
['358', '92', '421', '185', '171', '367', '251', '454', '91', '218']
['20', '279', '258', '404', '196', '323', '302', '192', '305', '290']
['401', '246', '51', '450', '125', '412', '207', '341', '179', '453']
['336', '249', '451', '169', '98', '332', '405', '373', '230', '12']
