['64', '67', '90', '100', '47']
['428', '75', '76', '96', '120']
['0', '3', '6', '7', '430']
['80', '82', '98', '416', '78']
['106', '59', '60', '68', '71']
['431', '125', '126', '260', '261']
['51', '152', '161', '170', '193']
['77', '103', '112', '123', '155']
['95', '23', '26', '30', '32']
['127', '124', '131', '144', '153']
['162', '164', '165', '169', '336']
['337', '173', '184', '185', '192']
['179', '93', '99', '128', '198']
['209', '135', '148', '154', '177']
['340', '210', '225', '233', '276']
['254', '168', '171', '172', '187']
['5', '22', '31', '34', '39']
['240', '188', '207', '287', '303']
['246', '217', '221', '222', '237']
['270', '130', '133', '139', '142']
['202', '205', '407', '232', '236']
['27', '178', '180', '183', '189']
['224', '239', '241', '256', '79']
['8', '9', '13', '87', '35']
['70', '108', '129', '143', '175']
['199', '53', '62', '104', '107']
['211', '238', '267', '285', '279']
['226', '257', '258', '259', '308']
['277', '208', '212', '214', '266']
['480', '191', '194', '196', '216']
['18', '15', '43', '44', '57']
['230', '234', '244', '301', '347']
['328', '181', '195', '219', '227']
['166', '200', '201', '373', '220']
['443', '268', '269', '355', '293']
['470', '21', '37', '42', '40']
['482', '69', '73', '85', '74']
['158', '160', '163', '121', '186']
['228', '229', '235', '294', '197']
['203', '248', '253', '286', '292']
['218', '45', '58', '65', '81']
['272', '278', '275', '295', '315']
['298', '14', '41', '46', '52']
['420', '247', '250', '251', '271']
['424', '262', '273', '274', '280']
['91', '92', '111', '438', '132']
['454', '84', '86', '88', '97']
['464', '289', '291', '307', '383']
['1', '282', '283', '299', '306']
['242', '134', '151', '167', '174']
['296', '321', '324', '341', '351']
['333', '313', '339', '354', '386']
['305', '323', '375', '387', '447']
['452', '310', '311', '316', '325']
['485', '263', '264', '265', '281']
['2', '284', '399', '401', '330']
['33', '338', '342', '350', '359']
['61', '141', '147', '150', '159']
['110', '362', '364', '390', '449']
['149', '297', '334', '343', '367']
['157', '372', '376', '392', '429']
['176', '319', '327', '331', '457']
['190', '309', '314', '320', '329']
['402', '243', '426', '439', '469']
['318', '349', '356', '365', '366']
['398', '348', '369', '370', '432']
['479', '371', '378', '384', '388']
['24', '136', '137', '140', '146']
['138', '396', '417', '418', '410']
['357', '360', '215', '368', '377']
['213', '344', '345', '346', '352']
['414', '415', '223', '436', '433']
['231', '317', '322', '326', '393']
['380', '381', '385', '245', '395']
['249', '379', '391', '400', '403']
['382', '288', '290', '300', '312']
['467', '12', '101', '145', '471']
['19', '113', '115', '116', '156']
['25', '94', '109', '114', '102']
['28', '437', '440', '460', '488']
['389', '374', '397', '405', '54']
['406', '409', '421', '423', '182']
['66', '204', '252', '332', '358']
['83', '361', '363', '394', '451']
['89', '474', '475', '478', '481']
['206', '419', '425', '462', '491']
['441', '444', '445', '255', '487']
['450', '304']
['302', '48', '49', '50', '55']
['335', '466', '468', '489']
['472', '473', '476', '353', '486']
['483', '484', '496', '422']
['490', '492', '413', '494', '36']
['434', '442', '465', '495', '448']
['453', '455', '456', '446', '463']
['427', '493', '4', '10', '63']
['435', '408', '411', '412', '404']
['497', '11', '16', '72', '105']
['498', '499', '20', '29', '38']
['117', '118', '119', '17', '122']
['458', '459', '56', '461', '477']
