['420', '372', '466', '265', '935', '524', '837', '626', '628', '29', '667', '326', '1', '872', '193', '336', '691', '10', '649', '886', '520', '831', '767', '765', '92', '592', '263', '217', '793', '905', '828', '223']
['833', '590', '413', '501', '706', '920', '674', '892', '210', '273', '688', '253', '789', '94', '331', '437', '333', '407', '302', '268', '212', '72', '797', '482', '779', '612', '565', '206', '550', '129', '622', '932']
['23', '108', '849', '794', '398', '958', '605', '120', '321', '394', '428', '885', '863', '128', '93', '474', '522', '704', '576', '875', '343', '350', '519', '299', '676', '48', '868', '666', '678', '513', '439', '701']
['61', '880', '754', '134', '374', '152', '256', '155', '485', '171', '961', '511', '888', '781', '47', '181', '423', '19', '608', '116', '641', '144', '954', '416', '647', '632', '639', '106', '248', '847', '424', '393']
['700', '500', '577', '330', '498', '484', '744', '216', '697', '552', '346', '598', '746', '480', '21', '149', '950', '359', '309', '182', '114', '355', '251', '609', '317', '344', '209', '259', '801', '926', '851', '125']
['138', '312', '469', '529', '368', '140', '636', '348', '298', '740', '682', '252', '404', '323', '710', '819', '610', '136', '916', '295', '594', '410', '933', '204', '401', '341', '777', '538', '755', '726', '717', '277']
['56', '956', '555', '51', '449', '382', '736', '638', '35', '215', '633', '716', '241', '180', '329', '858', '203', '773', '27', '651', '503', '855', '745', '483', '135', '400', '545', '923', '371', '276', '943', '887']
['164', '505', '521', '242', '554', '496', '911', '201', '669', '82', '284', '89', '910', '426', '655', '422', '588', '225', '450', '749', '73', '658', '176', '497', '245', '713', '301', '601', '300', '192', '127', '685']
['366', '589', '54', '915', '267', '857', '246', '388', '581', '218', '103', '205', '78', '764', '183', '774', '237', '896', '239', '946', '788', '50', '909', '260', '733', '912', '798', '153', '604', '202', '723', '834']
['815', '516', '714', '211', '900', '419', '671', '822', '829', '319', '95', '553', '599', '491', '462', '841', '28', '361', '465', '81', '711', '315', '160', '508', '118', '845', '281', '807', '852', '570', '18', '234']
['25', '759', '20', '85', '512', '806', '468', '314', '775', '811', '567', '940', '380', '99', '383', '310', '65', '107', '80', '143', '88', '36', '881', '52', '96', '358', '395', '644', '585', '456', '556', '611']
['240', '489', '195', '699', '399', '476', '12', '526', '74', '464', '154', '39', '197', '564', '631', '452', '199', '812', '850', '146', '795', '363', '504', '70', '537', '846', '619', '441', '724', '254', '177', '771']
['122', '142', '303', '249', '729', '111', '458', '629', '835', '67', '898', '364', '179', '899', '495', '640', '838', '367', '624', '960', '250', '454', '702', '882', '467', '659', '30', '687', '913', '796', '124', '679']
