['135', '779', '446', '743', '615', '92', '433', '24', '831', '508', '778', '900', '815', '328', '658', '399', '864', '964', '357', '228', '414', '363', '493', '338', '729']
['726', '482', '524', '185', '517', '929', '347', '151', '886', '684', '11', '879', '30', '274', '769', '340', '234', '331', '388', '239', '398', '50', '385', '560', '492']
['858', '308', '650', '247', '738', '989', '673', '760', '940', '955', '39', '173', '264', '584', '651', '674', '206', '736', '892', '641', '844', '476', '575', '708', '366']
['761', '633', '570', '555', '180', '923', '883', '240', '430', '920', '676', '716', '356', '629', '193', '971', '336', '167', '959', '754', '866', '285', '919', '204', '477']
['146', '227', '583', '408', '700', '516', '298', '281', '416', '603', '532', '728', '704', '731', '961', '553', '99', '909', '918', '401', '155', '975', '371', '862', '752']
['257', '413', '232', '930', '251', '841', '481', '521', '296', '742', '383', '973', '582', '461', '139', '962', '73', '435', '263', '463', '640', '564', '235', '365', '421']
['637', '686', '102', '233', '162', '621', '382', '393', '854', '60', '441', '411', '937', '283', '721', '387', '89', '473', '889', '689', '448', '376', '163', '751', '623']
['735', '897', '977', '848', '638', '120', '55', '389', '342', '484', '267', '370', '855', '996', '748', '568', '707', '16', '881', '727', '666', '84', '31', '816', '188']
['216', '750', '759', '968', '431', '117', '467', '725', '374', '527', '936', '192', '827', '770', '23', '128', '951', '415', '88', '691', '945', '804', '758', '190', '468']
['359', '515', '460', '327', '806', '782', '453', '109', '747', '628', '614', '3', '786', '210', '577', '51', '422', '983', '179', '891', '559', '488', '40', '717', '125']
['939', '838', '598', '271', '141', '888', '908', '589', '926', '212', '456', '325', '268', '993', '176', '932', '720', '607', '585', '522', '711', '259', '949', '697', '991']
['912', '810', '306', '737', '149', '71', '253', '706', '443', '61', '901', '45', '70', '375', '990', '592', '178', '34', '323', '100', '367', '771', '329', '904', '944']
['775', '278', '781', '510', '533', '417', '694', '817', '110', '860', '847', '551', '319', '410', '165', '270', '548', '418', '379', '220', '869', '78', '846', '223', '766']
['797', '643', '142', '894', '690', '153', '226', '302', '826', '81', '114', '343', '911', '934', '593', '857', '169', '604', '656', '965', '502', '362', '69', '616', '808']
['966', '821', '183', '309', '698', '86', '332', '875', '498', '512', '368', '741', '715', '576', '514', '792', '653', '660', '675', '880', '425', '80', '619', '871', '762']
['546', '921', '224', '903', '434', '984', '573', '825', '181', '612', '158', '985', '140', '611', '8', '839', '561', '799', '186', '753', '420', '914', '744', '90', '526']
['137', '599', '588', '124', '95', '632', '19', '490', '655', '273', '784', '523', '292', '489', '419', '10', '680', '535', '318', '56', '999', '710', '757', '693', '943']
['602', '236', '777', '953', '499', '196', '814', '667', '346', '211', '466', '600', '348', '243', '245', '229', '836', '823', '66', '648', '123', '587', '763', '845', '910']
['494', '134', '833', '322', '258', '995', '464', '756', '618', '18', '275', '150', '439', '265', '876', '941', '13', '539', '345', '424', '291', '543', '352', '670', '94']
['746', '221', '83', '842', '472', '15', '386', '93', '601', '485', '507', '294', '773', '776', '503', '520', '668', '35', '652', '269', '678', '254', '372', '63', '200']
['705', '187', '793', '978', '442', '355', '136', '96', '483', '57', '299', '29', '337', '5', '133', '556', '856', '246', '312', '594', '458', '174', '32', '542', '789']
['617', '171', '712', '58', '25', '272', '646', '390', '361', '354', '447', '946', '718', '249', '310', '795', '76', '622', '289', '867', '811', '159', '874', '905', '495']
['647', '303', '395', '549', '662', '819', '396', '683', '189', '719', '631', '868', '723', '33', '219', '432', '230', '172', '166', '807', '696', '834', '1', '528', '384']
['465', '313', '300', '74', '21', '672', '950', '540', '208', '113', '459', '307', '351', '843', '266', '541', '803', '812', '832', '28', '682', '48', '958', '59', '972']
['538', '260', '928', '412', '17', '9', '669', '505', '7', '111', '714', '785', '238', '924', '22', '301', '164', '213', '280', '692', '287', '222', '927', '244', '199']
['373', '277', '931', '462', '471', '237', '818', '606', '38', '530', '677', '44', '732', '774', '824', '634', '116', '52', '783', '106', '475', '293', '369', '988', '276']
['207', '596', '608', '537', '822', '852', '861', '391', '610', '103', '191', '261', '426', '364', '127', '620', '195', '197', '132', '644', '513', '72', '112', '252', '231']
['992', '755', '837', '279', '451', '457', '734', '438', '954', '105', '987', '745', '209', '440', '642', '215', '203', '241', '474', '794', '449', '256', '326', '405', '392']
['685', '859', '378', '550', '115', '218', '284', '980', '849', '563', '145', '547', '828', '635', '288', '518', '574', '981', '733', '701', '428', '591', '255', '104', '654']
['739', '20', '511', '182', '557', '699', '709', '933', '657', '768', '400', '767', '53', '54', '605', '194', '982', '126', '49', '108', '967', '295', '552', '311', '85']
['626', '882', '37', '479', '796', '147', '98', '702', '765', '979', '91', '899', '469', '506', '531', '695', '445', '780', '437', '121', '201', '802', '77', '671', '87']
['198', '161', '898', '509', '636', '248', '976', '470', '214', '664', '788', '624', '478', '663', '902', '581', '529', '225', '452', '809', '497', '820', '544', '565', '724']
['938', '907', '350', '790', '444', '360', '649', '997', '175', '429', '353', '554', '851', '713', '250', '314', '925', '749', '947', '138', '896', '160', '579', '205', '290']
['36', '341', '935', '805', '890', '381', '801', '317', '97', '67', '590', '829', '884', '519', '835', '262', '334', '813', '4', '454', '613', '409', '436', '82', '324']
['107', '321', '407', '402', '491', '394', '480', '558', '915', '873', '403', '79', '423', '2', '569', '12', '184', '297', '496', '906', '101', '659', '969', '377', '330']
['333', '850', '122', '397', '41', '885', '156', '152', '772', '6', '960', '571', '595', '304', '840', '427', '942', '703', '316', '597', '154', '335', '349', '130', '131']
['380', '878', '665', '525', '566', '358', '450', '177', '877', '567', '157', '75', '791', '800', '722', '170', '118', '148', '830', '119', '645', '998', '627', '536', '679']
['217', '46', '47', '42', '916', '661', '688', '504', '282', '895', '129', '404', '43', '681', '64', '320', '27', '956', '0', '853', '974', '143', '62', '863', '501']
['486', '305', '315', '787', '798', '625', '344', '562', '65', '586', '545', '580', '609', '339', '986', '764', '242', '455', '534', '687', '500', '730', '572', '406', '922']
['887', '26', '913', '994', '202', '948', '957', '286', '578', '865', '952', '872', '893', '144', '168', '740', '970', '630', '870', '963', '68', '917', '639', '14', '487']
