['768', '516', '265', '405', '877']
['239', '161', '346', '728', '533']
['520', '2', '919', '70', '564']
['968', '587', '849', '66', '889']
['432', '945', '272', '101', '26']
['146', '223', '155', '714', '428']
['571', '871', '211', '183', '961']
['61', '899', '834', '971', '225']
['505', '506', '476', '288', '691']
['337', '959', '682', '258', '517']
['894', '608', '904', '47', '438']
['639', '850', '378', '171', '539']
['882', '36', '590', '586', '723']
['248', '102', '64', '59', '684']
['127', '944', '624', '371', '530']
['742', '629', '813', '298', '210']
['993', '541', '315', '374', '110']
['550', '673', '334', '799', '826']
['238', '116', '317', '751', '747']
['193', '230', '353', '820', '7']
['480', '168', '710', '195', '360']
['162', '824', '488', '957', '33']
['923', '32', '139', '240', '648']
['31', '665', '943', '287', '502']
['709', '11', '498', '107', '301']
['497', '511', '170', '525', '730']
['409', '131', '114', '158', '873']
['643', '642', '652', '597', '426']
['695', '932', '705', '500', '733']
['801', '293', '611', '791', '177']
['893', '896', '35', '447', '18']
['345', '579', '815', '83', '658']
['693', '925', '267', '124', '740']
['762', '895', '122', '309', '257']
['979', '712', '576', '745', '311']
['19', '833', '956', '306', '355']
['425', '651', '574', '97', '86']
['922', '750', '861', '391', '274']
['678', '991', '280', '856', '553']
['719', '933', '818', '129', '736']
['577', '340', '756', '278', '328']
['679', '997', '206', '589', '568']
['338', '914', '909', '512', '662']
['407', '507', '398', '472', '515']
['228', '802', '29', '128', '951']
['379', '156', '967', '424', '427']
['749', '49', '876', '291', '948']
['142', '126', '339', '655', '972']
['62', '120', '400', '676', '880']
['832', '613', '232', '106', '793']
['43', '58', '966', '635', '754']
['461', '389', '469', '721', '194']
['888', '41', '663', '390', '262']
['28', '380', '382', '237', '869']
['744', '924', '593', '467', '492']
['111', '440', '681', '886', '729']
['12', '625', '805', '53', '975']
['558', '936', '487', '646', '674']
['247', '902', '675', '817', '668']
['104', '174', '804', '404', '657']
['900', '947', '485', '65', '141']
['847', '77', '213', '22', '455']
['446', '776', '996', '17', '331']
['795', '794', '898', '727', '363']
['182', '482', '860', '344', '444']
['137', '397', '220', '735', '928']
['765', '784', '192', '226', '536']
['436', '393', '870', '792', '686']
['563', '403', '840', '157', '316']
['234', '153', '551', '396', '920']
['812', '692', '766', '535', '939']
['857', '318', '917', '88', '321']
['737', '878', '10', '772', '940']
['79', '647', '468', '450', '266']
['786', '224', '985', '934', '986']
['602', '147', '620', '408', '74']
['769', '312', '313', '767', '399']
['930', '774', '420', '785', '214']
['166', '343', '454', '638', '152']
['610', '359', '838', '276', '458']
['14', '470', '725', '697', '366']
['349', '82', '208', '796', '148']
['929', '40', '537', '494', '626']
['696', '15', '279', '906', '479']
['748', '477', '508', '150', '816']
['779', '781', '879', '412', '718']
['851', '361', '264', '354', '664']
['358', '85', '282', '351', '848']
['67', '853', '734', '259', '473']
['557', '973', '87', '45', '819']
['283', '806', '667', '803', '308']
['808', '375', '149', '680', '874']
['430', '707', '989', '99', '518']
['592', '465', '416', '235', '435']
['242', '622', '739', '699', '513']
['100', '598', '688', '342', '980']
['54', '207', '16', '988', '75']
['581', '822', '559', '30', '433']
['670', '24', '555', '910', '938']
['884', '631', '39', '254', '843']
['187', '835', '942', '653', '319']
['81', '357', '866', '970', '501']
['154', '381', '456', '701', '115']
['144', '526', '672', '117', '199']
['304', '575', '368', '441', '845']
['496', '994', '134', '76', '935']
['844', '649', '411', '392', '892']
['419', '252', '578', '798', '872']
['746', '486', '918', '659', '777']
['915', '135', '448', '453', '534']
['364', '222', '314', '136', '261']
['57', '645', '305', '543', '197']
['637', '484', '172', '52', '94']
['864', '700', '429', '599', '770']
['600', '189', '687', '628', '5']
['336', '990', '365', '522', '221']
['965', '93', '854', '326', '348']
['422', '452', '175', '185', '383']
['630', '3', '738', '758', '493']
['632', '244', '84', '69', '542']
['715', '660', '641', '90', '609']
['912', '198', '807', '132', '552']
['478', '867', '983', '164', '974']
['916', '325', '937', '118', '307']
['108', '449', '656', '821', '881']
['640', '999', '531', '290', '724']
['95', '809', '863', '962', '732']
['434', '752', '588', '757', '243']
['92', '196', '285', '71', '982']
['927', '720', '953', '367', '504']
['842', '995', '778', '952', '753']
['51', '823', '173', '716', '527']
['89', '582', '0', '159', '783']
['619', '521', '423', '327', '395']
['545', '462', '741', '190', '921']
['80', '299', '573', '615', '987']
['34', '123', '605', '514', '459']
['204', '227', '713', '8', '495']
['236', '268', '858', '165', '229']
['690', '852', '911', '548', '253']
['583', '775', '755', '831', '387']
['143', '585', '510', '976', '789']
['78', '50', '27', '271', '219']
['188', '797', '1', '969', '241']
['6', '125', '636', '621', '949']
['63', '386', '329', '565', '269']
['181', '759', '167', '594', '827']
['561', '25', '186', '885', '23']
['96', '556', '570', '540', '209']
['362', '320', '255', '292', '303']
['788', '457', '284', '322', '596']
['21', '566', '711', '761', '48']
['926', '246', '612', '273', '760']
['591', '421', '490', '233', '731']
['800', '913', '618', '442', '179']
['907', '406', '875', '897', '836']
['323', '787', '60', '601', '669']
['474', '91', '300', '418', '644']
['706', '607', '992', '464', '372']
['606', '260', '394', '37', '250']
['908', '790', '614', '572', '55']
['169', '503', '743', '200', '335']
['203', '960', '212', '98', '623']
['887', '519', '726', '865', '72']
['722', '481', '460', '68', '964']
['105', '538', '773', '666', '859']
['356', '549', '782', '764', '567']
['217', '402', '191', '176', '145']
['941', '138', '385', '584', '443']
['703', '825', '310', '954', '560']
['491', '595', '685', '384', '56']
['297', '694', '73', '184', '439']
['532', '627', '828', '332', '463']
['4', '475', '263', '417', '410']
['617', '341', '499', '650', '977']
['302', '13', '180', '890', '554']
['958', '633', '333', '616', '829']
['814', '296', '256', '523', '855']
['46', '245', '324', '330', '981']
['369', '163', '286', '509', '528']
['946', '133', '683', '352', '661']
['347', '38', '437', '544', '215']
['415', '634', '489', '671', '811']
['178', '466', '717', '201', '604']
['112', '249', '388', '547', '903']
['955', '868', '569', '377', '413']
['42', '546', '275', '350', '698']
['862', '9', '109', '529', '445']
['763', '103', '677', '654', '119']
['603', '294', '998', '121', '524']
['160', '414', '883', '202', '251']
['151', '810', '113', '471', '704']
['891', '483', '295', '130', '830']
['901', '205', '846', '376', '140']
['401', '281', '20', '950', '451']
['580', '839', '231', '218', '277']
['963', '44', '978', '984', '216']
['708', '905', '270', '289', '702']
['370', '373', '689', '562', '837']
['771', '431', '780', '931', '841']
