['368', '348', '91', '399', '913', '273', '691', '423', '390', '290', '562', '461', '633', '394', '957', '868', '40', '660', '770', '905']
['259', '622', '938', '382', '366', '236', '535', '239', '713', '314', '702', '403', '504', '775', '336', '76', '419', '484', '17', '23']
['426', '646', '365', '586', '272', '829', '195', '687', '786', '857', '980', '356', '809', '148', '716', '754', '441', '589', '597', '350']
['959', '727', '749', '378', '38', '690', '167', '676', '735', '706', '949', '209', '255', '349', '392', '851', '364', '570', '70', '780']
['881', '719', '977', '844', '840', '343', '540', '601', '808', '16', '338', '240', '861', '823', '835', '184', '416', '41', '465', '131']
['955', '221', '961', '506', '747', '658', '575', '319', '232', '532', '866', '483', '849', '347', '150', '580', '218', '253', '117', '508']
['916', '146', '444', '527', '545', '673', '400', '457', '5', '768', '682', '852', '934', '7', '450', '972', '219', '262', '522', '529']
['582', '841', '936', '743', '931', '342', '332', '681', '621', '549', '615', '112', '636', '116', '198', '652', '837', '44', '745', '970']
['648', '266', '871', '258', '495', '421', '708', '210', '279', '462', '874', '52', '14', '294', '312', '323', '974', '371', '795', '276']
['886', '375', '147', '389', '908', '409', '945', '282', '661', '901', '724', '581', '656', '730', '822', '12', '164', '996', '973', '8']
['630', '696', '86', '924', '173', '301', '513', '705', '864', '859', '56', '876', '340', '241', '963', '883', '81', '674', '430', '101']
['544', '215', '251', '299', '579', '541', '110', '486', '353', '514', '546', '731', '357', '810', '115', '181', '130', '692', '208', '755']
['327', '990', '62', '126', '583', '141', '106', '453', '153', '902', '339', '943', '721', '269', '927', '653', '213', '431', '456', '45']
['143', '994', '151', '391', '13', '308', '225', '114', '995', '584', '303', '296', '528', '736', '860', '912', '951', '604', '144', '335']
['287', '746', '669', '94', '140', '960', '552', '632', '509', '473', '83', '538', '324', '845', '223', '858', '67', '854', '846', '930']
['159', '662', '163', '176', '50', '2', '102', '890', '616', '346', '978', '789', '160', '206', '688', '740', '591', '85', '697', '611']
['197', '433', '315', '386', '694', '477', '405', '941', '748', '306', '935', '550', '313', '235', '352', '723', '670', '244', '751', '560']
['207', '802', '149', '376', '587', '576', '830', '500', '542', '367', '869', '763', '759', '603', '880', '729', '953', '626', '292', '84']
['981', '647', '539', '948', '237', '304', '18', '872', '470', '360', '907', '641', '234', '249', '475', '613', '534', '136', '548', '599']
['515', '227', '9', '74', '826', '414', '418', '568', '285', '668', '683', '665', '594', '95', '178', '617', '177', '268', '57', '722']
['712', '806', '211', '499', '588', '962', '385', '432', '850', '832', '921', '82', '188', '571', '281', '427', '782', '58', '69', '326']
['46', '657', '179', '10', '487', '263', '796', '536', '298', '700', '331', '557', '926', '406', '800', '295', '464', '247', '519', '971']
['203', '498', '920', '714', '821', '496', '569', '715', '33', '300', '156', '424', '593', '946', '885', '816', '28', '267', '954', '48']
['24', '479', '322', '904', '397', '380', '726', '362', '651', '471', '932', '492', '610', '558', '277', '732', '607', '275', '108', '565']
['494', '640', '618', '848', '814', '767', '707', '361', '200', '412', '30', '71', '650', '328', '68', '893', '784', '827', '776', '655']
['678', '567', '318', '22', '458', '969', '359', '472', '246', '894', '757', '703', '666', '979', '649', '639', '787', '685', '369', '547']
['709', '261', '77', '812', '89', '798', '758', '503', '135', '992', '155', '756', '993', '61', '820', '186', '769', '887', '524', '725']
['944', '986', '915', '958', '121', '393', '778', '733', '900', '11', '877', '377', '783', '174', '381', '363', '679', '797', '781', '555']
['111', '3', '526', '779', '502', '105', '452', '999', '370', '157', '976', '142', '434', '772', '870', '862', '79', '737', '307', '302']
['93', '214', '63', '608', '824', '623', '358', '333', '425', '518', '710', '764', '793', '451', '454', '305', '439', '233', '15', '686']
['637', '288', '891', '166', '398', '183', '96', '699', '455', '512', '985', '99', '205', '54', '968', '6', '573', '459', '97', '481']
['929', '899', '631', '664', '988', '39', '717', '256', '64', '761', '1', '87', '744', '168', '191', '291', '170', '185', '592', '964']
['585', '966', '773', '216', '415', '257', '521', '947', '47', '180', '193', '628', '103', '196', '139', '154', '537', '59', '677', '818']
['311', '493', '643', '469', '753', '843', '765', '344', '25', '20', '134', '600', '172', '531', '914', '853', '171', '771', '654', '228']
['777', '51', '120', '72', '297', '231', '693', '689', '807', '602', '794', '145', '863', '620', '137', '242', '388', '217', '260', '742']
['834', '226', '325', '711', '222', '270', '998', '374', '245', '429', '595', '762', '520', '842', '224', '113', '525', '422', '950', '774']
['129', '928', '395', '505', '169', '485', '556', '252', '78', '162', '559', '104', '625', '43', '132', '355', '517', '476', '280', '466']
['906', '543', '817', '372', '337', '497', '933', '554', '21', '952', '614', '73', '684', '805', '659', '420', '474', '413', '799', '923']
['873', '384', '408', '341', '922', '815', '875', '467', '199', '463', '448', '956', '909', '354', '271', '19', '401', '937', '49', '446']
['124', '98', '984', '122', '671', '551', '437', '718', '510', '321', '598', '66', '407', '792', '572', '917', '819', '563', '645', '158']
['128', '606', '189', '229', '785', '243', '741', '675', '867', '836', '507', '220', '373', '939', '940', '274', '351', '436', '345', '804']
['387', '884', '31', '410', '635', '856', '310', '202', '667', '566', '896', '738', '892', '942', '577', '194', '612', '478', '903', '443']
['882', '642', '590', '107', '911', '790', '491', '27', '516', '34', '788', '230', '865', '879', '695', '182', '138', '35', '501', '435']
['825', '983', '190', '334', '32', '672', '490', '238', '383', '629', '919', '37', '254', '440', '530', '320', '698', '286', '165', '644']
['109', '90', '265', '833', '997', '53', '619', '127', '65', '734', '445', '803', '36', '125', '838', '574', '578', '564', '488', '201']
['898', '175', '449', '831', '889', '80', '379', '396', '330', '118', '987', '638', '284', '634', '402', '460', '289', '704', '965', '26']
['411', '417', '895', '839', '663', '309', '533', '428', '187', '828', '728', '523', '55', '982', '329', '888', '152', '878', '766', '442']
['119', '316', '627', '596', '801', '609', '925', '404', '60', '4', '0', '553', '468', '720', '192', '438', '250', '989', '480', '813']
['29', '910', '92', '293', '739', '897', '511', '212', '680', '100', '847', '811', '918', '75', '248', '133', '278', '991', '760', '204']
['123', '791', '489', '317', '264', '161', '752', '88', '605', '855', '750', '967', '701', '975', '482', '447', '624', '283', '42', '561']
