['50', '453', '129', '321', '36', '43', '118', '187', '292', '286']
['114', '58', '263', '497', '119', '354', '447', '232', '445', '125']
['399', '145', '314', '303', '328', '464', '185', '302', '304', '311']
['93', '195', '83', '492', '289', '312', '72', '154', '122', '417']
['85', '164', '298', '190', '324', '212', '412', '431', '109', '290']
['97', '65', '68', '279', '378', '394', '137', '104', '48', '268']
['132', '228', '470', '336', '253', '80', '28', '7', '365', '382']
['10', '171', '47', '99', '141', '14', '326', '369', '86', '401']
['55', '398', '366', '140', '383', '24', '252', '265', '432', '165']
['168', '128', '308', '79', '8', '163', '30', '183', '202', '373']
['225', '135', '323', '213', '251', '12', '29', '291', '77', '343']
['434', '91', '313', '44', '481', '441', '90', '176', '42', '409']
['4', '301', '384', '463', '173', '40', '54', '489', '262', '108']
['70', '126', '276', '375', '257', '148', '408', '414', '174', '386']
['106', '281', '189', '494', '465', '466', '142', '110', '476', '353']
['18', '300', '337', '25', '364', '38', '246', '113', '496', '269']
['34', '341', '87', '480', '348', '112', '287', '462', '192', '59']
['208', '51', '288', '335', '131', '381', '390', '310', '23', '320']
['377', '73', '205', '250', '362', '89', '448', '347', '193', '219']
['272', '334', '206', '61', '396', '467', '295', '138', '458', '149']
['33', '254', '217', '166', '238', '342', '105', '442', '224', '260']
['153', '172', '357', '392', '150', '277', '84', '134', '220', '127']
['299', '146', '226', '17', '305', '53', '454', '316', '147', '385']
['478', '115', '361', '211', '196', '216', '472', '78', '325', '75']
['370', '440', '231', '69', '248', '349', '27', '403', '393', '345']
['443', '322', '475', '266', '60', '198', '184', '404', '469', '13']
['296', '31', '26', '247', '479', '446', '498', '405', '374', '136']
['76', '273', '402', '244', '130', '230', '98', '471', '499', '175']
['380', '49', '182', '338', '379', '284', '222', '488', '429', '5']
['283', '355', '427', '64', '159', '15', '151', '152', '215', '203']
['237', '485', '449', '267', '422', '169', '271', '452', '495', '107']
['388', '331', '474', '306', '82', '92', '330', '197', '309', '52']
['204', '162', '111', '178', '413', '420', '410', '270', '367', '280']
['242', '424', '94', '436', '116', '389', '482', '318', '415', '88']
['74', '167', '16', '363', '483', '179', '62', '191', '239', '32']
['180', '101', '9', '157', '371', '460', '57', '144', '418', '234']
['433', '223', '297', '428', '307', '319', '333', '210', '350', '435']
['317', '332', '439', '66', '426', '158', '491', '358', '261', '411']
['282', '0', '327', '278', '258', '351', '346', '356', '275', '360']
['340', '376', '421', '484', '243', '400', '339', '352', '406', '11']
['35', '139', '170', '407', '199', '188', '67', '160', '397', '372']
['315', '20', '3', '227', '395', '233', '274', '444', '477', '455']
['229', '19', '391', '256', '461', '294', '259', '249', '416', '218']
['56', '177', '155', '430', '207', '285', '459', '473', '117', '240']
['1', '22', '209', '359', '423', '120', '133', '387', '156', '457']
['200', '102', '37', '486', '419', '264', '451', '368', '41', '468']
['45', '438', '123', '95', '437', '39', '425', '236', '344', '121']
['2', '124', '245', '6', '181', '221', '186', '103', '235', '493']
['450', '329', '46', '81', '293', '241', '201', '487', '214', '71']
['96', '21', '194', '161', '63', '255', '456', '490', '100', '143']
