['729', '815', '161', '601', '392', '184', '385', '455', '428', '908', '68', '451', '2', '851', '189', '281', '472', '517', '958', '421', '136', '179', '128', '567', '375', '279', '720', '624', '306', '250', '689', '42', '90', '871', '632', '776', '959', '844', '172', '932', '794', '975', '482', '230', '84', '192', '252', '705', '974', '945']
['277', '456', '158', '105', '218', '826', '655', '46', '381', '251', '466', '784', '198', '223', '115', '656', '303', '48', '249', '921', '242', '446', '3', '769', '77', '577', '575', '410', '470', '789', '889', '523', '559', '637', '819', '37', '425', '740', '9', '96', '155', '160', '915', '991', '447', '875', '615', '319', '793', '532']
['724', '617', '742', '58', '964', '439', '291', '778', '220', '231', '584', '780', '52', '703', '602', '900', '919', '622', '83', '540', '897', '13', '302', '999', '426', '32', '946', '276', '832', '124', '500', '301', '98', '266', '734', '716', '841', '24', '341', '388', '704', '453', '817', '574', '768', '787', '27', '137', '424', '777']
['245', '556', '760', '687', '70', '604', '206', '404', '953', '208', '727', '692', '701', '480', '883', '613', '553', '726', '910', '414', '406', '513', '518', '212', '226', '573', '296', '106', '857', '865', '196', '292', '33', '418', '148', '715', '781', '752', '684', '370', '130', '996', '448', '565', '639', '416', '178', '19', '546', '41']
['359', '940', '182', '44', '185', '351', '135', '633', '651', '589', '868', '598', '315', '225', '332', '66', '982', '668', '843', '634', '95', '322', '855', '481', '217', '493', '445', '495', '202', '176', '354', '803', '732', '608', '22', '109', '430', '211', '76', '650', '118', '706', '17', '263', '282', '587', '253', '990', '543', '998']
['486', '54', '795', '534', '669', '397', '465', '383', '360', '308', '892', '694', '484', '898', '680', '969', '235', '4', '386', '219', '254', '162', '564', '993', '462', '258', '597', '317', '545', '444', '610', '914', '369', '1', '214', '696', '232', '628', '966', '629', '821', '261', '433', '483', '947', '636', '949', '201', '708', '283']
['578', '138', '754', '849', '110', '905', '751', '860', '16', '336', '498', '739', '366', '203', '97', '810', '644', '333', '246', '866', '156', '427', '839', '994', '772', '339', '936', '188', '569', '504', '197', '265', '284', '690', '972', '755', '842', '373', '693', '374', '659', '88', '67', '926', '119', '396', '394', '285', '538', '558']
['828', '728', '412', '257', '762', '449', '580', '14', '723', '916', '560', '143', '140', '181', '719', '586', '526', '489', '571', '35', '215', '325', '346', '411', '18', '642', '830', '864', '269', '663', '699', '103', '983', '595', '917', '491', '390', '561', '464', '479', '30', '731', '683', '377', '652', '807', '200', '34', '239', '490']
['8', '834', '646', '939', '566', '786', '259', '94', '607', '862', '452', '312', '326', '297', '551', '295', '344', '863', '925', '568', '761', '122', '194', '36', '434', '316', '372', '721', '820', '126', '804', '766', '623', '367', '686', '541', '398', '65', '47', '757', '654', '688', '698', '378', '92', '275', '113', '528', '382', '45']
['505', '149', '91', '262', '405', '928', '516', '802', '562', '475', '195', '702', '873', '40', '585', '600', '904', '544', '620', '352', '286', '379', '753', '593', '829', '241', '463', '885', '121', '368', '152', '104', '950', '304', '305', '102', '965', '988', '69', '53', '707', '237', '984', '521', '327', '443', '640', '371', '311', '461']
['774', '349', '20', '588', '533', '329', '649', '205', '221', '563', '800', '673', '782', '100', '535', '345', '393', '934', '213', '73', '770', '924', '938', '165', '744', '437', '805', '733', '845', '995', '501', '935', '712', '146', '233', '775', '967', '485', '89', '879', '667', '478', '476', '174', '835', '576', '678', '358', '111', '536']
['552', '507', '582', '987', '880', '911', '183', '792', '422', '321', '745', '557', '555', '519', '943', '57', '529', '746', '867', '722', '108', '664', '294', '318', '62', '891', '173', '989', '895', '670', '289', '342', '962', '335', '509', '28', '979', '409', '765', '125', '894', '323', '240', '957', '997', '216', '796', '63', '210', '59']
['255', '131', '572', '420', '931', '922', '436', '21', '151', '99', '186', '836', '890', '682', '822', '29', '15', '711', '638', '116', '764', '978', '270', '942', '621', '365', '520', '79', '738', '120', '328', '658', '806', '164', '611', '247', '869', '674', '193', '387', '691', '912', '355', '630', '508', '709', '468', '758', '309', '407']
['11', '697', '86', '944', '256', '548', '847', '467', '677', '606', '384', '933', '973', '423', '801', '985', '514', '39', '888', '878', '549', '840', '626', '522', '527', '207', '748', '816', '338', '671', '330', '631', '314', '530', '93', '791', '243', '808', '441', '356', '679', '643', '487', '419', '825', '288', '167', '773', '853', '290']
['459', '348', '725', '681', '49', '785', '380', '353', '735', '80', '6', '685', '666', '248', '902', '85', '23', '710', '531', '499', '471', '850', '180', '886', '645', '741', '435', '605', '743', '81', '790', '154', '187', '431', '700', '648', '199', '968', '977', '112', '460', '74', '147', '271', '395', '906', '272', '222', '960', '846']
