['345', '438', '57', '88', '478', '64', '446', '59', '110', '352', '274', '387', '53', '288', '71', '134', '318', '7', '173', '396', '175', '276', '390', '330', '159']
['360', '190', '160', '313', '441', '245', '83', '124', '311', '316', '494', '334', '282', '209', '259', '420', '351', '120', '292', '459', '355', '348', '40', '442', '447']
['378', '60', '157', '226', '154', '263', '70', '225', '137', '46', '295', '279', '436', '37', '269', '423', '362', '404', '425', '457', '176', '414', '367', '350', '262']
['299', '228', '198', '488', '74', '148', '495', '475', '89', '265', '14', '340', '297', '317', '194', '75', '156', '202', '308', '47', '133', '314', '374', '329', '188']
['309', '242', '99', '449', '275', '78', '130', '496', '227', '192', '39', '109', '151', '162', '146', '222', '410', '280', '214', '273', '184', '139', '195', '469', '215']
['26', '45', '128', '5', '17', '354', '458', '305', '491', '290', '419', '149', '6', '138', '339', '81', '260', '95', '301', '52', '333', '370', '382', '55', '1']
['241', '84', '323', '32', '158', '145', '291', '366', '296', '114', '181', '461', '229', '108', '65', '112', '293', '486', '92', '271', '372', '251', '23', '240', '407']
['416', '255', '15', '224', '343', '131', '248', '205', '298', '482', '464', '62', '169', '411', '346', '376', '82', '451', '141', '304', '98', '36', '477', '136', '249']
['8', '178', '359', '218', '41', '435', '386', '174', '231', '320', '106', '485', '3', '408', '170', '480', '361', '30', '321', '97', '104', '204', '380', '337', '116']
['338', '48', '463', '132', '213', '196', '233', '444', '20', '85', '499', '147', '455', '439', '135', '448', '358', '427', '235', '381', '487', '470', '258', '440', '185']
['13', '261', '232', '101', '412', '211', '35', '67', '127', '365', '465', '25', '284', '287', '21', '401', '413', '497', '467', '72', '54', '153', '481', '87', '322']
['453', '208', '179', '199', '111', '450', '283', '246', '384', '18', '267', '200', '371', '285', '391', '223', '398', '493', '76', '61', '363', '335', '33', '16', '150']
['144', '31', '152', '443', '432', '119', '347', '286', '422', '278', '168', '220', '4', '73', '210', '403', '155', '434', '353', '19', '142', '102', '90', '219', '117']
['203', '342', '332', '107', '43', '166', '364', '207', '445', '281', '79', '399', '327', '326', '177', '483', '182', '312', '171', '161', '0', '373', '191', '394', '11']
['34', '331', '44', '29', '180', '126', '472', '113', '143', '247', '476', '344', '2', '68', '484', '417', '377', '49', '42', '122', '264', '306', '164', '94', '38']
['9', '115', '24', '10', '433', '69', '28', '266', '250', '383', '234', '324', '418', '498', '201', '289', '206', '426', '91', '357', '96', '272', '409', '429', '474']
['244', '253', '56', '388', '103', '197', '27', '193', '93', '473', '257', '406', '243', '430', '349', '385', '217', '58', '270', '460', '212', '121', '437', '51', '389']
['105', '186', '165', '490', '268', '375', '471', '356', '252', '369', '129', '462', '236', '431', '254', '328', '336', '239', '456', '310', '368', '238', '454', '315', '183']
['307', '277', '424', '163', '466', '230', '50', '256', '167', '100', '66', '303', '189', '123', '405', '489', '216', '468', '395', '400', '118', '415', '172', '140', '294']
['492', '125', '77', '325', '300', '22', '393', '237', '319', '63', '302', '421', '479', '341', '80', '86', '221', '187', '392', '397', '428', '12', '402', '379', '452']
