['80', '106', '404', '198', '262', '989', '525', '241', '331', '777', '379', '725', '376', '885', '64', '133', '898', '150', '807', '6', '189', '33', '60', '699', '940', '818', '204', '946', '157', '101', '63', '756', '503', '264', '9', '107', '861', '337', '544', '930', '959', '576', '352', '635', '125', '452', '397', '729', '417', '844']
['114', '785', '592', '610', '868', '387', '839', '697', '678', '49', '649', '260', '965', '985', '281', '163', '117', '771', '361', '602', '279', '669', '385', '590', '424', '430', '59', '218', '993', '188', '710', '389', '2', '515', '354', '801', '698', '929', '663', '480', '727', '665', '608', '453', '326', '11', '254', '853', '147', '642']
['186', '686', '974', '351', '339', '701', '951', '919', '877', '546', '308', '595', '876', '645', '278', '74', '252', '532', '39', '454', '380', '780', '927', '571', '670', '297', '202', '862', '679', '651', '605', '128', '889', '797', '962', '911', '827', '195', '209', '467', '890', '52', '13', '469', '392', '100', '505', '130', '311', '288']
['408', '62', '809', '634', '815', '47', '50', '44', '549', '787', '366', '108', '486', '878', '935', '942', '85', '838', '573', '360', '817', '215', '24', '977', '900', '823', '247', '741', '102', '143', '403', '421', '903', '537', '343', '870', '534', '895', '438', '921', '955', '484', '273', '231', '561', '614', '67', '436', '846', '967']
['666', '479', '684', '606', '659', '712', '619', '758', '368', '268', '165', '802', '754', '463', '856', '322', '508', '848', '845', '333', '410', '394', '419', '187', '609', '746', '748', '79', '886', '315', '908', '422', '10', '978', '613', '221', '172', '918', '372', '569', '920', '71', '742', '245', '979', '112', '483', '270', '113', '766']
['284', '318', '988', '440', '745', '499', '629', '205', '423', '29', '884', '585', '411', '677', '910', '98', '998', '142', '796', '236', '950', '858', '15', '668', '618', '182', '471', '448', '70', '655', '855', '640', '276', '120', '873', '591', '65', '990', '864', '501', '426', '400', '357', '58', '149', '696', '901', '902', '490', '168']
['280', '949', '382', '158', '922', '803', '825', '688', '167', '83', '93', '21', '216', '28', '953', '984', '556', '593', '961', '829', '184', '658', '581', '237', '811', '960', '461', '302', '963', '350', '26', '620', '764', '553', '287', '156', '875', '500', '238', '255', '695', '755', '641', '282', '477', '986', '300', '721', '462', '863']
['707', '639', '166', '291', '816', '761', '775', '589', '689', '879', '947', '413', '464', '223', '987', '425', '493', '774', '327', '685', '169', '936', '5', '632', '88', '412', '676', '830', '193', '906', '516', '683', '570', '662', '122', '625', '105', '401', '478', '542', '896', '782', '468', '750', '558', '719', '968', '200', '773', '4']
['497', '482', '740', '599', '693', '560', '87', '206', '995', '365', '854', '928', '446', '779', '933', '61', '627', '437', '116', '529', '109', '842', '27', '409', '847', '580', '566', '439', '849', '232', '656', '115', '431', '792', '603', '852', '724', '567', '289', '212', '32', '616', '55', '744', '798', '258', '235', '507', '207', '263']
['723', '793', '362', '290', '518', '705', '375', '253', '538', '355', '711', '954', '465', '768', '717', '53', '121', '772', '976', '68', '176', '737', '706', '233', '219', '522', '548', '90', '509', '321', '378', '132', '286', '22', '248', '664', '673', '398', '660', '12', '34', '647', '753', '19', '713', '96', '732', '866', '432', '312']
['139', '982', '932', '69', '31', '441', '657', '336', '103', '594', '17', '23', '789', '443', '923', '681', '836', '867', '700', '420', '224', '762', '396', '765', '144', '786', '957', '229', '210', '84', '731', '309', '405', '416', '630', '941', '637', '915', '369', '891', '104', '16', '1', '653', '752', '345', '791', '256', '48', '177']
['604', '267', '75', '194', '703', '588', '56', '203', '259', '759', '559', '805', '470', '778', '760', '348', '299', '94', '390', '826', '519', '180', '650', '587', '185', '991', '227', '769', '249', '860', '702', '531', '344', '564', '383', '110', '175', '341', '586', '251', '95', '708', '914', '328', '266', '271', '329', '457', '952', '265']
['342', '349', '364', '767', '274', '715', '897', '434', '161', '800', '523', '617', '814', '880', '680', '536', '840', '521', '346', '511', '77', '239', '51', '644', '971', '301', '512', '624', '643', '583', '714', '871', '973', '391', '874', '450', '948', '964', '956', '735', '612', '92', '334', '841', '487', '535', '445', '162', '730', '8']
['201', '623', '476', '621', '99', '226', '283', '225', '939', '154', '728', '790', '824', '881', '442', '159', '857', '812', '138', '530', '692', '672', '832', '78', '720', '931', '851', '303', '682', '340', '173', '833', '347', '794', '828', '489', '230', '481', '240', '43', '552', '415', '153', '30', '671', '243', '151', '704', '37', '272']
['568', '738', '607', '869', '91', '781', '565', '821', '444', '539', '170', '996', '850', '598', '127', '899', '359', '86', '675', '909', '743', '667', '466', '246', '551', '356', '582', '134', '784', '943', '859', '747', '795', '46', '690', '222', '367', '687', '330', '575', '770', '447', '924', '709', '377', '904', '183', '129', '277', '488']
['980', '674', '819', '460', '335', '293', '865', '734', '414', '131', '407', '435', '944', '492', '970', '370', '0', '458', '736', '160', '596', '992', '285', '810', '945', '498', '45', '66', '969', '126', '527', '358', '555', '141', '319', '317', '934', '751', '178', '374', '199', '148', '307', '913', '783', '883', '485', '584', '81', '562']
['304', '638', '124', '76', '733', '35', '892', '316', '916', '776', '600', '332', '373', '574', '843', '449', '57', '310', '958', '155', '292', '937', '472', '393', '966', '306', '363', '296', '353', '628', '524', '543', '395', '145', '578', '601', '41', '111', '313', '972', '475', '217', '456', '563', '257', '882', '925', '36', '294', '517']
['275', '763', '164', '718', '926', '320', '123', '418', '381', '250', '429', '633', '72', '615', '547', '550', '54', '323', '654', '136', '907', '214', '208', '648', '146', '371', '813', '831', '526', '994', '25', '305', '451', '997', '324', '171', '975', '491', '97', '386', '528', '646', '788', '533', '38', '694', '211', '887', '799']
['82', '661', '428', '506', '427', '749', '981', '42', '18', '242', '234', '137', '269', '197', '220', '338', '89', '577', '691', '835', '213', '554', '905', '73', '572', '388', '495', '119', '399', '983', '261', '597', '837', '626', '325', '611', '893', '757', '298', '888', '494', '459', '228', '152', '579', '716', '822', '40', '118', '938']
['622', '191', '636', '474', '473', '192', '196', '726', '406', '917', '834', '513', '631', '520', '514', '722', '502', '179', '545', '244', '540', '314', '455', '652', '894', '402', '808', '739', '140', '295', '872', '384', '20', '496', '7', '190', '181', '510', '504', '557', '14', '433', '174', '912', '820', '804', '135', '541', '806', '3']
