['425', '229', '844', '769', '797', '213', '796', '268', '411', '930']
['641', '694', '928', '976', '274', '47', '134', '857', '299', '601']
['801', '921', '761', '617', '324', '166', '852', '663', '952', '577']
['11', '14', '487', '502', '94', '446', '865', '36', '171', '574']
['519', '45', '123', '223', '387', '325', '727', '778', '303', '412']
['189', '297', '841', '143', '476', '27', '672', '190', '226', '800']
['753', '355', '3', '953', '808', '949', '350', '141', '450', '269']
['717', '762', '187', '707', '985', '794', '243', '157', '212', '366']
['131', '931', '748', '107', '904', '997', '418', '103', '345', '125']
['569', '228', '376', '987', '978', '470', '542', '898', '729', '225']
['178', '646', '207', '405', '485', '24', '239', '642', '610', '817']
['721', '821', '454', '177', '13', '252', '854', '140', '38', '977']
['37', '121', '712', '397', '205', '133', '65', '734', '337', '845']
['294', '265', '975', '749', '273', '152', '598', '202', '920', '793']
['811', '318', '32', '249', '839', '840', '906', '344', '699', '525']
['527', '89', '743', '430', '500', '401', '122', '389', '756', '746']
['209', '683', '754', '855', '77', '963', '79', '899', '460', '153']
['338', '679', '406', '653', '872', '232', '947', '46', '834', '716']
['210', '772', '664', '638', '996', '192', '465', '887', '288', '457']
['292', '607', '842', '785', '551', '881', '673', '711', '612', '736']
['560', '912', '491', '575', '706', '700', '83', '291', '341', '380']
['129', '604', '327', '363', '352', '656', '343', '458', '488', '242']
['608', '730', '804', '289', '757', '633', '431', '271', '305', '689']
['555', '154', '176', '669', '627', '377', '820', '16', '960', '31']
['287', '290', '615', '514', '812', '849', '139', '395', '648', '451']
['745', '203', '701', '535', '427', '970', '392', '172', '891', '59']
['137', '752', '473', '467', '5', '882', '495', '792', '68', '421']
['659', '443', '759', '758', '763', '590', '9', '536', '208', '330']
['248', '644', '466', '237', '315', '735', '925', '989', '264', '158']
['266', '531', '322', '335', '603', '684', '956', '862', '66', '462']
['423', '272', '505', '969', '148', '543', '362', '497', '429', '347']
['824', '724', '44', '417', '331', '570', '981', '907', '132', '802']
['101', '483', '710', '933', '280', '439', '261', '791', '179', '308']
['251', '967', '708', '461', '940', '809', '946', '64', '310', '719']
['164', '56', '737', '267', '314', '554', '323', '883', '136', '655']
['214', '186', '231', '703', '914', '76', '219', '557', '935', '71']
['283', '215', '110', '93', '10', '161', '650', '145', '720', '677']
['475', '661', '398', '30', '394', '787', '479', '873', '26', '548']
['480', '201', '328', '195', '983', '184', '866', '665', '998', '951']
['592', '375', '70', '456', '105', '927', '810', '382', '867', '624']
['825', '909', '503', '333', '509', '559', '75', '117', '965', '222']
['974', '332', '626', '160', '964', '339', '304', '357', '582', '596']
['414', '391', '733', '529', '81', '657', '571', '311', '549', '22']
['50', '630', '282', '538', '100', '600', '678', '455', '40', '572']
['714', '58', '442', '838', '958', '836', '57', '356', '562', '106']
['424', '517', '404', '90', '419', '410', '670', '238', '698', '625']
