['269', '52', '299', '345', '221', '167', '129', '346', '51', '339']
['460', '421', '157', '393', '337', '195', '23', '458', '300', '290']
['125', '443', '331', '58', '161', '375', '118', '207', '155', '40']
['55', '343', '416', '143', '433', '219', '351', '9', '113', '354']
['178', '183', '61', '6', '318', '72', '399', '260', '436', '39']
['396', '229', '366', '159', '322', '13', '14', '386', '282', '280']
['63', '0', '38', '83', '216', '191', '369', '414', '79', '392']
['481', '212', '278', '234', '54', '469', '165', '213', '90', '313']
['483', '117', '465', '203', '37', '292', '177', '109', '413', '41']
['224', '199', '309', '390', '140', '454', '97', '95', '270', '16']
['102', '394', '192', '70', '391', '295', '135', '314', '424', '326']
['284', '254', '397', '440', '65', '170', '89', '82', '3', '367']
['430', '132', '371', '319', '130', '377', '417', '71', '235', '33']
['263', '303', '156', '49', '217', '357', '307', '111', '360', '236']
['385', '296', '145', '398', '376', '488', '166', '137', '173', '420']
['352', '29', '128', '480', '321', '141', '150', '193', '308', '138']
['333', '256', '244', '370', '32', '492', '310', '121', '450', '101']
['94', '403', '169', '45', '27', '358', '239', '363', '187', '21']
['18', '297', '189', '80', '261', '447', '75', '384', '364', '476']
['412', '302', '330', '415', '243', '409', '123', '286', '258', '15']
['241', '456', '188', '56', '108', '341', '490', '119', '425', '305']
['93', '311', '116', '426', '47', '275', '206', '176', '11', '279']
['98', '210', '272', '171', '455', '120', '285', '406', '335', '324']
['146', '388', '162', '84', '344', '378', '468', '62', '1', '410']
['418', '214', '134', '355', '317', '136', '53', '361', '114', '372']
['451', '459', '233', '437', '404', '179', '495', '315', '380', '457']
['57', '222', '265', '264', '293', '76', '17', '126', '148', '60']
['92', '237', '257', '441', '283', '479', '44', '127', '197', '463']
['484', '7', '174', '96', '291', '362', '470', '464', '332', '247']
['66', '105', '133', '262', '408', '85', '131', '36', '281', '271']
['200', '472', '453', '228', '395', '448', '338', '342', '252', '350']
['382', '186', '255', '304', '349', '485', '294', '103', '266', '496']
['147', '312', '316', '466', '461', '347', '434', '144', '142', '211']
['407', '401', '124', '268', '306', '164', '231', '64', '139', '205']
['115', '86', '181', '220', '209', '246', '34', '2', '253', '168']
['277', '87', '43', '215', '374', '400', '46', '172', '4', '383']
['24', '240', '478', '402', '428', '198', '431', '35', '242', '334']
['208', '107', '475', '180', '328', '251', '497', '8', '427', '449']
['99', '10', '59', '12', '185', '298', '25', '230', '158', '442']
['356', '154', '110', '202', '489', '19', '190', '389', '232', '74']
['153', '320', '467', '494', '325', '26', '477', '248', '486', '194']
['445', '491', '327', '201', '329', '423', '340', '493', '78', '353']
['48', '68', '151', '250', '288', '435', '182', '28', '149', '223']
['69', '175', '381', '73', '249', '287', '88', '365', '379', '471']
['42', '104', '274', '336', '452', '289', '122', '226', '368', '81']
['373', '422', '411', '499', '323', '77', '50', '473', '444', '22']
['152', '348', '91', '498', '439', '163', '446', '67', '112', '267']
['227', '30', '432', '5', '184', '204', '259', '419', '273', '31']
['218', '359', '387', '245', '106', '238', '438', '225', '160', '474']
['429', '100', '301', '405', '462', '276', '482', '196', '487', '20']
