['345', '665', '394', '399', '63', '514', '547', '699', '356', '360']
['151', '175', '306', '236', '562', '74', '290', '333', '626', '232']
['533', '279', '697', '784', '671', '639', '160', '131', '312', '790']
['454', '52', '87', '700', '590', '723', '406', '627', '284', '271']
['661', '713', '544', '657', '55', '542', '694', '37', '294', '793']
['760', '421', '656', '247', '735', '383', '758', '187', '424', '337']
['756', '598', '311', '303', '51', '480', '776', '435', '531', '738']
['17', '614', '309', '147', '65', '511', '527', '443', '324', '444']
['603', '198', '168', '124', '754', '565', '185', '619', '201', '144']
['342', '285', '488', '90', '305', '313', '440', '19', '682', '681']
['53', '152', '233', '458', '241', '685', '643', '178', '130', '169']
['304', '518', '687', '577', '186', '117', '113', '552', '707', '593']
['419', '471', '618', '459', '669', '773', '26', '81', '256', '238']
['334', '392', '401', '59', '545', '663', '540', '14', '215', '295']
['499', '210', '332', '509', '184', '572', '227', '647', '41', '139']
['98', '223', '350', '359', '44', '150', '385', '637', '464', '408']
['35', '418', '787', '358', '249', '76', '377', '636', '778', '634']
['188', '397', '129', '677', '60', '724', '316', '107', '94', '257']
['217', '676', '234', '674', '569', '302', '596', '629', '689', '119']
['120', '66', '340', '89', '537', '570', '662', '743', '559', '498']
['600', '460', '125', '589', '403', '371', '199', '8', '780', '442']
['482', '635', '515', '798', '642', '607', '428', '507', '632', '351']
['668', '591', '213', '116', '407', '680', '29', '475', '320', '18']
['270', '575', '487', '314', '191', '136', '640', '115', '779', '200']
['742', '472', '264', '203', '46', '761', '429', '218', '736', '651']
['346', '586', '374', '308', '451', '133', '91', '250', '717', '153']
['164', '365', '330', '265', '143', '10', '95', '319', '741', '795']
['118', '582', '112', '534', '493', '453', '772', '463', '278', '253']
['566', '375', '469', '32', '149', '110', '679', '132', '301', '594']
['557', '771', '628', '789', '658', '64', '158', '109', '684', '437']
['753', '114', '748', '477', '620', '588', '97', '587', '432', '728']
['6', '167', '189', '384', '581', '703', '159', '792', '72', '519']
['450', '194', '154', '500', '777', '712', '395', '413', '650', '434']
['455', '148', '366', '299', '785', '474', '161', '0', '224', '512']
['245', '740', '702', '423', '759', '638', '162', '745', '584', '468']
['192', '448', '722', '583', '16', '667', '277', '96', '673', '78']
['221', '327', '180', '763', '601', '774', '354', '352', '126', '751']
['12', '670', '31', '24', '15', '195', '426', '567', '331', '608']
['80', '196', '23', '532', '28', '613', '102', '209', '765', '135']
['467', '4', '402', '762', '734', '497', '229', '254', '49', '732']
['747', '361', '362', '214', '134', '62', '336', '541', '79', '207']
['664', '82', '380', '281', '174', '438', '54', '123', '367', '21']
['775', '417', '373', '121', '307', '141', '506', '422', '286', '672']
['633', '88', '733', '666', '344', '692', '382', '58', '578', '269']
['516', '447', '353', '387', '691', '710', '579', '555', '368', '30']
['783', '22', '576', '398', '727', '538', '564', '248', '349', '622']
['718', '288', '621', '411', '179', '61', '757', '495', '553', '652']
['616', '163', '276', '416', '275', '267', '77', '503', '781', '701']
['219', '190', '283', '226', '339', '645', '183', '630', '470', '414']
['38', '155', '653', '483', '230', '767', '289', '244', '108', '103']
['721', '211', '764', '3', '489', '378', '610', '33', '381', '393']
['675', '1', '390', '274', '799', '573', '67', '688', '711', '206']
['140', '39', '122', '726', '720', '296', '170', '476', '782', '563']
['322', '505', '165', '525', '478', '456', '92', '197', '86', '794']
['386', '101', '243', '237', '486', '287', '193', '111', '623', '280']
['338', '235', '84', '252', '355', '604', '731', '389', '560', '769']
['128', '68', '788', '410', '83', '258', '300', '606', '412', '556']
['693', '449', '202', '749', '786', '631', '2', '513', '181', '391']
['9', '212', '602', '660', '698', '678', '75', '85', '364', '716']
['750', '585', '205', '228', '318', '372', '45', '220', '379', '266']
['263', '329', '695', '259', '752', '376', '260', '546', '310', '612']
['404', '580', '706', '69', '605', '50', '523', '326', '520', '646']
['528', '708', '465', '791', '34', '568', '11', '441', '127', '649']
['176', '323', '5', '485', '549', '543', '526', '457', '40', '400']
['491', '137', '335', '558', '341', '146', '539', '609', '216', '494']
['648', '766', '409', '625', '574', '36', '466', '261', '370', '173']
['551', '222', '93', '529', '502', '797', '725', '683', '105', '388']
['328', '239', '317', '686', '420', '262', '530', '225', '433', '597']
['73', '42', '796', '56', '425', '347', '508', '292', '142', '57']
['461', '599', '739', '445', '315', '20', '171', '561', '427', '251']
['524', '13', '291', '325', '446', '548', '462', '343', '25', '156']
['655', '654', '473', '496', '504', '297', '452', '744', '595', '405']
['293', '704', '363', '517', '624', '106', '70', '490', '696', '369']
['439', '730', '204', '768', '709', '177', '255', '755', '550', '617']
['100', '138', '430', '172', '282', '48', '357', '571', '715', '396']
['719', '641', '145', '415', '240', '615', '737', '729', '27', '166']
['659', '592', '231', '554', '510', '481', '99', '611', '522', '268']
['770', '431', '535', '321', '71', '705', '479', '242', '501', '272']
['298', '273', '182', '492', '746', '348', '644', '104', '521', '157']
['714', '43', '47', '536', '484', '208', '7', '246', '690', '436']
