['560', '376', '107', '94', '581', '125', '330', '337', '371', '290']
['393', '592', '4', '64', '460', '428', '362', '450', '224', '396']
['373', '206', '315', '219', '201', '528', '326', '87', '249', '159']
['301', '358', '291', '250', '42', '12', '193', '589', '297', '180']
['264', '489', '190', '567', '525', '559', '570', '21', '425', '311']
['198', '574', '266', '407', '57', '186', '532', '141', '70', '156']
['584', '157', '401', '354', '312', '113', '129', '217', '380', '383']
['483', '257', '597', '541', '494', '109', '76', '322', '461', '99']
['456', '533', '363', '102', '3', '404', '50', '307', '59', '392']
['72', '252', '416', '517', '8', '323', '274', '52', '36', '276']
['2', '182', '63', '302', '327', '599', '348', '275', '357', '339']
['51', '215', '507', '423', '161', '237', '251', '89', '233', '497']
['147', '120', '346', '189', '62', '389', '341', '175', '353', '19']
['168', '200', '502', '203', '167', '273', '518', '26', '285', '474']
['231', '558', '170', '0', '130', '495', '463', '526', '144', '100']
['479', '60', '81', '298', '289', '61', '552', '155', '453', '227']
['576', '270', '181', '304', '268', '131', '119', '509', '135', '17']
['390', '550', '225', '6', '9', '446', '171', '433', '256', '458']
['364', '367', '282', '154', '226', '39', '582', '305', '347', '542']
['522', '490', '534', '563', '114', '575', '539', '85', '413', '321']
['579', '365', '210', '43', '516', '117', '300', '475', '524', '568']
['296', '234', '183', '387', '462', '185', '580', '340', '73', '166']
['86', '395', '27', '573', '478', '221', '124', '241', '381', '451']
['587', '465', '173', '294', '188', '333', '196', '209', '417', '287']
['126', '408', '15', '142', '513', '139', '403', '520', '5', '470']
['500', '352', '18', '493', '271', '435', '121', '385', '69', '379']
['214', '310', '54', '40', '510', '594', '235', '105', '44', '136']
['391', '360', '472', '79', '457', '260', '269', '455', '150', '223']
['415', '158', '336', '598', '239', '202', '477', '325', '162', '577']
['593', '514', '382', '366', '313', '128', '405', '394', '571', '439']
['65', '248', '498', '512', '316', '111', '314', '335', '544', '350']
['78', '583', '95', '179', '318', '555', '218', '33', '58', '481']
['293', '232', '216', '22', '334', '110', '448', '84', '184', '279']
['492', '255', '53', '55', '91', '83', '454', '204', '328', '93']
['480', '338', '501', '331', '35', '246', '356', '247', '222', '30']
['45', '324', '511', '527', '424', '140', '442', '151', '229', '414']
['343', '398', '361', '345', '178', '47', '410', '437', '419', '146']
['74', '317', '127', '565', '590', '207', '230', '240', '262', '545']
['499', '421', '56', '505', '431', '292', '588', '420', '212', '443']
['38', '137', '106', '187', '399', '13', '538', '98', '557', '67']
['23', '97', '591', '176', '349', '11', '254', '236', '280', '66']
['400', '228', '132', '265', '104', '553', '165', '68', '519', '243']
['213', '267', '449', '80', '531', '332', '378', '253', '24', '566']
['402', '427', '177', '238', '299', '370', '320', '164', '436', '491']
['143', '466', '28', '561', '244', '554', '160', '208', '496', '422']
['138', '473', '71', '145', '551', '123', '515', '464', '194', '426']
['572', '220', '82', '536', '103', '108', '471', '469', '49', '112']
['445', '7', '440', '122', '547', '342', '195', '556', '48', '278']
['261', '412', '487', '596', '452', '447', '303', '503', '508', '355']
['258', '46', '444', '375', '286', '595', '32', '530', '277', '306']
['540', '174', '521', '386', '192', '259', '438', '281', '10', '368']
['90', '523', '377', '485', '77', '409', '467', '429', '441', '148']
['263', '272', '25', '163', '411', '14', '284', '506', '191', '369']
['88', '16', '153', '37', '562', '205', '245', '29', '549', '537']
['133', '430', '432', '172', '92', '418', '564', '329', '41', '468']
['372', '351', '152', '1', '374', '96', '585', '476', '543', '75']
['529', '149', '384', '459', '488', '197', '535', '484', '295', '344']
['308', '118', '486', '116', '242', '397', '359', '134', '288', '319']
['578', '31', '569', '283', '388', '169', '309', '406', '101', '20']
['482', '115', '548', '586', '546', '504', '434', '199', '34', '211']
