['981', '516', '402', '783', '510', '612', '184', '284', '241', '999', '248', '752', '278', '111', '511', '943', '570', '316', '449', '798', '705', '513', '964', '183', '134', '236', '800', '776', '282', '129', '445', '764', '229', '375', '418', '879', '809', '514', '136', '760', '960', '73', '962', '444', '95', '300', '887', '994', '949', '847']
['862', '714', '19', '498', '468', '295', '569', '593', '657', '911', '861', '289', '309', '589', '69', '842', '775', '970', '780', '554', '240', '610', '591', '638', '724', '743', '968', '35', '273', '456', '584', '178', '324', '450', '802', '448', '454', '401', '677', '680', '671', '679', '436', '821', '978', '565', '341', '782', '729', '232']
['299', '264', '254', '126', '403', '706', '611', '85', '687', '351', '777', '920', '655', '501', '108', '876', '582', '910', '895', '665', '93', '980', '890', '400', '303', '49', '176', '884', '207', '170', '971', '500', '491', '825', '989', '168', '280', '721', '354', '686', '756', '252', '961', '586', '494', '202', '423', '983', '329', '463']
['356', '247', '867', '719', '475', '736', '90', '959', '627', '4', '212', '727', '224', '415', '218', '567', '710', '338', '522', '318', '853', '839', '373', '521', '768', '91', '42', '645', '215', '781', '464', '486', '649', '437', '784', '523', '419', '365', '503', '622', '766', '101', '458', '330', '476', '717', '296', '707', '404', '161']
['843', '566', '728', '431', '253', '70', '512', '412', '641', '881', '902', '227', '438', '592', '461', '725', '443', '121', '661', '313', '270', '629', '984', '732', '785', '738', '411', '504', '889', '237', '597', '46', '80', '124', '898', '720', '387', '262', '771', '787', '104', '41', '94', '973', '258', '750', '769', '700', '745', '109']
['162', '896', '835', '381', '678', '206', '828', '228', '23', '489', '774', '298', '120', '328', '153', '155', '682', '817', '663', '600', '620', '944', '225', '473', '283', '685', '22', '128', '951', '442', '794', '560', '260', '975', '805', '808', '813', '460', '103', '179', '563', '553', '45', '855', '893', '55', '643', '433', '816', '635']
['469', '596', '673', '390', '165', '478', '625', '132', '288', '143', '398', '735', '336', '912', '836', '342', '722', '688', '696', '440', '875', '100', '377', '389', '793', '765', '703', '763', '963', '753', '465', '209', '99', '175', '366', '520', '748', '472', '858', '362', '152', '518', '405', '618', '432', '276', '834', '347', '157', '92']
['33', '221', '308', '699', '64', '851', '487', '71', '773', '892', '378', '993', '244', '955', '144', '681', '863', '106', '883', '293', '865', '672', '346', '245', '937', '97', '664', '819', '133', '797', '799', '877', '484', '439', '311', '555', '868', '174', '900', '420', '734', '882', '302', '891', '544', '870', '361', '6', '26', '634']
['372', '914', '363', '974', '446', '291', '340', '837', '292', '838', '906', '757', '564', '180', '43', '535', '359', '14', '87', '192', '335', '614', '146', '147', '979', '526', '958', '424', '255', '409', '127', '139', '926', '871', '36', '666', '307', '952', '379', '172', '694', '527', '536', '977', '990', '987', '251', '477', '396', '644']
['156', '497', '585', '528', '368', '759', '547', '249', '754', '919', '185', '226', '758', '38', '406', '542', '550', '383', '216', '131', '640', '428', '279', '558', '832', '789', '113', '726', '823', '321', '285', '716', '455', '53', '425', '846', '117', '761', '540', '266', '602', '220', '21', '31', '386', '880', '746', '840', '933', '322']
['268', '32', '869', '479', '788', '676', '581', '265', '203', '301', '234', '333', '195', '430', '364', '668', '929', '312', '946', '818', '59', '969', '160', '357', '305', '125', '242', '928', '654', '57', '967', '345', '576', '343', '923', '467', '122', '822', '939', '574', '263', '986', '205', '653', '231', '908', '616', '917', '28', '374']
['191', '269', '826', '470', '138', '159', '669', '142', '315', '72', '44', '713', '731', '40', '158', '790', '873', '370', '742', '480', '196', '859', '358', '899', '360', '451', '67', '422', '715', '37', '257', '517', '636', '297', '326', '940', '505', '849', '78', '239', '62', '471', '447', '575', '488', '13', '319', '810', '957', '367']
['915', '304', '348', '391', '942', '116', '98', '16', '543', '281', '683', '407', '791', '52', '982', '548', '171', '988', '294', '845', '177', '525', '83', '850', '650', '17', '429', '34', '18', '704', '145', '997', '806', '261', '130', '353', '954', '578', '74', '985', '12', '820', '5', '54', '408', '936', '102', '648', '344', '426']
['652', '507', '557', '741', '524', '603', '189', '509', '885', '621', '290', '60', '332', '966', '857', '20', '651', '135', '751', '349', '63', '689', '587', '394', '105', '79', '572', '998', '568', '39', '595', '323', '740', '355', '82', '414', '119', '904', '779', '81', '399', '701', '459', '137', '598', '9', '795', '58', '287', '886']
['762', '271', '393', '708', '352', '604', '114', '61', '633', '337', '953', '310', '856', '786', '907', '483', '711', '921', '739', '807', '749', '608', '577', '537', '89', '416', '320', '841', '588', '905', '693', '615', '200', '164', '605', '872', '630', '667', '803', '259', '15', '371', '350', '110', '496', '922', '733', '692', '792', '27']
['154', '827', '462', '306', '434', '204', '546', '924', '539', '481', '519', '466', '684', '852', '84', '723', '0', '642', '941', '698', '8', '485', '583', '778', '607', '531', '824', '976', '927', '945', '277', '453', '925', '250', '948', '601', '29', '256', '965', '508', '148', '594', '48', '25', '223', '235', '829', '718', '617', '562']
['860', '995', '275', '388', '992', '112', '210', '844', '435', '947', '991', '193', '624', '934', '812', '30', '916', '452', '222', '151', '956', '272', '188', '75', '532', '267', '675', '755', '697', '392', '747', '660', '848', '417', '830', '490', '493', '1', '580', '140', '833', '334', '866', '561', '384', '56', '606', '233', '51', '599']
